來源,代碼,類別,R,G,B
95,01,農業使用土地,102,255,0
95,0101,農作,102,255,0
95,010101,稻作,102,255,0
95,010102,旱作,51,255,102
95,010103,果樹,0,255,102
95,010104,廢耕地,204,255,153
95,0102,水產養殖,204,255,204
95,010200,水產養殖,204,255,204
95,0103,畜牧,153,255,102
95,010301,畜禽舍,153,255,51
95,010302,牧場,0,255,51
95,0104,農業附帶設施,204,255,0
95,010401,溫室,204,255,102
95,010402,倉儲設施,102,255,153
95,010403,農業品展售場,102,255,51
95,010404,其他設施,102,255,102
95,02,森林使用土地,0,153,0
95,0201,天然林,0,153,0
95,020101,天然針葉樹純林,51,204,153
95,020102,天然闊葉樹純林,51,204,51
95,020103,天然竹林,102,204,0
95,020104,天然竹針闊葉混淆林,0,204,0
95,0202,人工林,51,153,0
95,020201,人工針葉樹純林,51,153,0
95,020202,人工闊葉樹純林,51,204,0
95,020203,人工竹林,153,204,102
95,020204,人工竹針闊葉混合林,0,153,102
95,0203,其他森林使用土地,0,153,51
95,020301,伐木跡地,204,204,153
95,020302,苗圃,51,255,0
95,020303,防火線,204,51,153
95,020304,土場,204,153,0
95,03,交通使用土地,255,153,153
95,0301,機場,51,0,255
95,030100,機場,51,0,255
95,0302,鐵路,255,51,255
95,030201,一般鐵路,255,51,255
95,030202,高速鐵路,255,0,255
95,030203,鐵路相關設施,255,102,255
95,0303,道路,255,153,153
95,030301,國道,255,51,51
95,030302,省道、快速道路,255,102,102
95,030303,一般道路,255,153,153
95,030304,道路相關設施,204,204,204
95,0304,港口,255,51,204
95,030401,商港,255,0,204
95,030402,漁港,255,0,153
95,030403,專用港,255,51,153
95,030404,其他港口相關設施,255,51,102
95,04,水利使用土地,51,51,255
95,0401,河道 ~,51,51,255
95,040101,河川,51,51,255
95,040102,減河,51,51,204
95,040103,運河,0,102,255
95,040104,堤防,255,255,102
95,0402,溝渠,51,102,255
95,040200,溝渠,51,102,255
95,0403,蓄水池,102,153,204
95,040301,水庫,0,0,102
95,040302,湖泊,0,0,255
95,040303,其他蓄水池,0,0,153
95,040304,人工湖,0,51,204
95,0404,水道沙洲灘地,204,153,51
95,040400,水道沙洲灘地,204,153,51
95,0405,水利構造物,51,51,102
95,040501,水閘門,102,102,102
95,040502,抽水站,51,51,102
95,040503,水庫堰霸,102,102,51
95,040504,地下取水井,0,0,102
95,040505,其他設施,0,51,255
95,0406,防汛道路,153,153,102
95,040600,防汛道路,153,153,102
95,0407,海面,0,0,204
95,040700,海面,0,0,204
95,05,建築使用土地,255,255,0
95,0501,商業,255,0,0
95,050101,零售批發,255,0,0
95,050102,服務業,204,0,0
95,0502,住宅,255,255,0
95,050201,純住宅,255,255,0
